City,Latitude,Longitude,Max Temp(F),Humidity(%),Cloudiness(%),Wind Speed (mph),Country,Date
Rikitea,-23.12,-134.97,69.04,59,8,19.82,PF,1593537784
Provideniya,64.38,-173.3,43.3,87,100,8.39,RU,1593537803
Havre-St-Pierre,50.23,-63.6,71.6,64,1,10.29,CA,1593537803
Cape Town,-33.93,18.42,60.01,87,12,3.36,ZA,1593537523
Chumikan,54.72,135.31,45.01,96,100,10.25,RU,1593537803
Lavrentiya,65.58,-171.0,43.47,82,100,8.55,RU,1593537804
Bambous Virieux,-20.34,57.76,68.0,82,20,2.24,MU,1593537804
Biak,-0.91,122.88,75.92,84,30,6.93,ID,1593537804
Laas,46.62,10.7,66.2,68,40,8.05,IT,1593537804
Shelbyville,35.48,-86.46,69.8,100,40,5.82,US,1593537804
Jamestown,42.1,-79.24,79.0,57,40,12.75,US,1593537804
Atuona,-9.8,-139.03,80.33,73,1,19.26,PF,1593537804
Garissa,-0.45,39.64,80.98,58,15,23.26,KE,1593537804
Saint Paul Harbor,57.79,-152.41,55.4,66,1,8.05,US,1593537804
Tasiilaq,65.61,-37.64,48.2,89,40,31.09,GL,1593537804
Henties Bay,-22.12,14.28,72.0,41,0,1.99,NA,1593537666
Dongli,23.57,116.82,84.2,83,20,4.47,CN,1593537805
Mataura,-46.19,168.86,39.0,83,61,3.0,NZ,1593537805
Havøysund,71.0,24.66,42.8,81,75,19.46,NO,1593537724
Ubari,26.59,12.78,102.61,9,0,8.72,LY,1593537805
Dobryanka,58.46,56.42,53.6,71,50,4.47,RU,1593537805
Geraldton,-28.77,114.6,60.8,87,75,4.7,AU,1593537805
Butaritari,3.07,172.79,81.45,73,32,2.51,KI,1593537805
Nome,64.5,-165.41,45.0,81,90,9.17,US,1593537805
Preetz,54.23,10.28,62.01,82,75,17.22,DE,1593537805
Port Alfred,-33.59,26.89,57.99,85,15,4.0,ZA,1593537805
Kahului,20.89,-156.47,80.6,69,40,14.99,US,1593537805
Yellowknife,62.46,-114.35,75.99,49,20,6.93,CA,1593537672
Labuhan,-6.88,112.21,77.07,84,89,7.76,ID,1593537805
Ushuaia,-54.8,-68.3,30.2,80,40,4.7,AR,1593537557
Albany,42.6,-73.97,75.0,74,80,3.91,US,1593537629
San Felipe,10.34,-68.74,88.97,53,15,2.04,VE,1593537806
Guerrero Negro,27.98,-114.06,72.25,57,2,9.78,MX,1593537557
Akropong,5.97,-0.09,78.8,83,75,12.75,GH,1593537806
Vaini,-21.2,-175.2,71.6,100,90,10.29,TO,1593537806
Oistins,13.07,-59.53,87.8,66,40,19.46,BB,1593537750
Concordia,-31.39,-58.02,53.01,93,90,18.34,AR,1593537806
Mumford,5.26,-0.76,77.29,80,42,12.71,GH,1593537806
Hermanus,-34.42,19.23,55.0,88,13,7.09,ZA,1593537806
Saint-François,46.42,3.91,78.8,44,16,4.7,FR,1593537806
Coahuayana Viejo,18.73,-103.68,80.6,69,40,4.52,MX,1593537806
Punta Arenas,-53.15,-70.92,32.0,93,75,5.82,CL,1593537684
Faya,18.39,42.45,78.8,50,40,5.82,SA,1593537807
Shimanovsk,52.0,127.7,65.39,53,7,6.13,RU,1593537807
Chokurdakh,70.63,147.92,43.0,60,2,7.81,RU,1593537807
Nikolskoye,59.7,30.79,62.6,59,20,15.66,RU,1593537807
Pandaria,22.23,81.42,85.39,65,72,2.66,IN,1593537807
Kindu,-2.95,25.95,81.5,48,99,2.33,CD,1593537807
Port Elizabeth,-33.92,25.57,60.8,77,0,8.05,ZA,1593537807
Kruisfontein,-34.0,24.73,53.74,78,0,6.42,ZA,1593537807
Faanui,-16.48,-151.75,78.28,77,43,26.49,PF,1593537807
Mārkāpur,15.73,79.28,84.65,72,64,6.2,IN,1593537807
Busselton,-33.65,115.33,52.0,67,61,15.01,AU,1593537807
East London,-33.02,27.91,61.79,64,1,7.87,ZA,1593537808
Katsuura,35.13,140.3,79.0,94,75,17.22,JP,1593537808
Kamaishi,39.27,141.88,69.04,92,100,9.93,JP,1593537808
Nayoro,44.35,142.46,57.92,89,100,0.51,JP,1593537808
La Ronge,55.1,-105.28,57.2,93,90,12.75,CA,1593537808
Hasaki,35.73,140.83,79.0,88,75,14.99,JP,1593537808
Cabo San Lucas,22.89,-109.91,80.01,83,75,11.41,MX,1593537808
Hambantota,6.12,81.12,81.84,80,100,14.03,LK,1593537808
Saskylakh,71.92,114.08,78.75,38,4,7.76,RU,1593537808
Alvarães,-3.22,-64.8,87.8,74,40,5.82,BR,1593537808
Gbarnga,7.0,-9.47,78.08,91,58,3.58,LR,1593537809
Jūrmala,56.97,23.77,64.4,68,20,10.29,LV,1593537809
Hilo,19.73,-155.09,77.0,69,90,3.36,US,1593537809
Kumul,42.8,93.45,76.03,21,0,6.13,CN,1593537809
Malinovka,53.86,27.44,69.8,52,36,6.71,BY,1593537809
Guatire,10.48,-66.54,87.8,70,20,8.05,VE,1593537809
Tiksi,71.69,128.87,45.09,66,1,4.74,RU,1593537809
Mehamn,71.04,27.85,41.0,86,90,14.99,NO,1593537809
Port Macquarie,-31.43,152.92,46.99,97,4,5.75,AU,1593537775
Panji,-7.73,114.1,75.0,79,3,4.92,ID,1593537809
Norman Wells,65.28,-126.83,66.2,63,75,17.22,CA,1593537809
Mar del Plata,-38.0,-57.56,52.0,87,90,20.8,AR,1593537652
